id,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand,flight_terminal,empty_spaces,air_classes,count_date,type_mc,flight_datetime_start,flight_datetime_finish,C_vc,index
12,A,2019-05-17 00:25:00,SU,31,D,LED,73H,158,97,87,1,61,Narrow_Body,2,away,2019-05-17 00:25:00,2019-05-17 01:30:00,1550,27
13,D,2019-05-17 00:30:00,EO,563,D,OSW,E90,110,60,5,3,50,Regional,1,away,2019-05-16 23:40:00,2019-05-17 00:30:00,1200,211
14,D,2019-05-17 00:35:00,SU,1132,D,AER,SU9,87,33,88,1,54,Regional,3,away,2019-05-16 23:45:00,2019-05-17 00:35:00,1250,307
15,A,2019-05-17 00:35:00,N4,378,I,EVN,73H,189,152,74,2,37,Narrow_Body,3,away,2019-05-17 00:35:00,2019-05-17 01:40:00,1550,162
16,A,2019-05-17 00:35:00,SU,2539,I,OSL,73H,158,68,5,3,90,Narrow_Body,3,away,2019-05-17 00:35:00,2019-05-17 01:40:00,1500,908
17,D,2019-05-17 00:40:00,SU,1638,D,OMS,32A,158,150,6,3,8,Narrow_Body,4,away,2019-05-16 23:35:00,2019-05-17 00:40:00,1500,592
18,D,2019-05-17 00:40:00,SU,46,D,LED,73H,158,155,89,1,3,Narrow_Body,4,away,2019-05-16 23:35:00,2019-05-17 00:40:00,1550,40
19,D,2019-05-17 00:40:00,FV,6167,D,REN,73H,189,145,7,3,44,Narrow_Body,4,away,2019-05-16 23:35:00,2019-05-17 00:40:00,1500,968
20,D,2019-05-17 00:40:00,SU,1428,D,MQF,73H,158,83,90,1,75,Narrow_Body,4,away,2019-05-16 23:35:00,2019-05-17 00:40:00,1550,508
21,D,2019-05-17 00:45:00,SU,1196,D,KZN,73H,158,126,190,1,32,Narrow_Body,2,away,2019-05-16 23:40:00,2019-05-17 00:45:00,1550,353
22,D,2019-05-17 00:45:00,N4,477,I,EVN,73H,189,152,76,2,37,Narrow_Body,2,away,2019-05-16 23:40:00,2019-05-17 00:45:00,1550,180
23,A,2019-05-17 00:55:00,SU,1119,D,AER,73H,158,71,88,1,87,Narrow_Body,2,away,2019-05-17 00:55:00,2019-05-17 02:00:00,1550,296
24,D,2019-05-17 00:55:00,SU,1536,D,TOF,32B,183,83,8,3,100,Narrow_Body,2,away,2019-05-16 23:50:00,2019-05-17 00:55:00,1500,570
25,D,2019-05-17 01:00:00,SU,1382,D,HMA,32A,158,98,191,1,60,Narrow_Body,3,away,2019-05-16 23:55:00,2019-05-17 01:00:00,1550,472
26,D,2019-05-17 01:00:00,SU,1482,D,KJA,333,296,244,9,3,52,Wide_Body,3,away,2019-05-16 23:40:00,2019-05-17 01:00:00,2000,540
27,A,2019-05-17 01:00:00,BT,426,I,RIX,CS3,145,123,6,5,22,Narrow_Body,3,away,2019-05-17 01:00:00,2019-05-17 02:05:00,1550,173
28,D,2019-05-17 01:05:00,SU,1306,D,OVB,73H,158,127,192,1,31,Narrow_Body,2,away,2019-05-17 00:00:00,2019-05-17 01:05:00,1550,427
29,D,2019-05-17 01:05:00,SU,1562,D,IKT,73H,158,99,193,1,59,Narrow_Body,2,away,2019-05-17 00:00:00,2019-05-17 01:05:00,1550,576
30,A,2019-05-17 01:10:00,SU,45,D,LED,32A,158,59,89,1,99,Narrow_Body,1,away,2019-05-17 01:10:00,2019-05-17 02:15:00,1550,39
31,D,2019-05-17 01:20:00,SU,1958,I,GUW,321,170,87,75,2,83,Narrow_Body,1,away,2019-05-17 00:15:00,2019-05-17 01:20:00,1550,684
32,D,2019-05-17 01:25:00,N4,541,D,OMS,73H,189,140,10,3,49,Narrow_Body,3,away,2019-05-17 00:20:00,2019-05-17 01:25:00,1500,205
33,D,2019-05-17 01:25:00,SU,1218,D,PEE,SU9,87,66,194,1,21,Regional,3,away,2019-05-17 00:35:00,2019-05-17 01:25:00,1250,373
34,D,2019-05-17 01:25:00,SU,1300,D,MRV,SU9,87,63,195,1,24,Regional,3,away,2019-05-17 00:35:00,2019-05-17 01:25:00,1250,421
35,D,2019-05-17 01:30:00,SU,1508,D,TJM,SU9,87,67,90,1,20,Regional,3,away,2019-05-17 00:40:00,2019-05-17 01:30:00,1250,556
36,D,2019-05-17 01:30:00,SU,36,D,LED,32A,158,127,196,1,31,Narrow_Body,3,away,2019-05-17 00:25:00,2019-05-17 01:30:00,1550,32
37,A,2019-05-17 01:30:00,KL,907,I,AMS,73H,186,151,1,5,35,Narrow_Body,3,away,2019-05-17 01:30:00,2019-05-17 02:35:00,1550,248
38,D,2019-05-17 01:35:00,SU,1512,D,SGC,32A,158,142,197,1,16,Narrow_Body,4,away,2019-05-17 00:30:00,2019-05-17 01:35:00,1550,560
39,D,2019-05-17 01:35:00,SU,500,I,TLV,321,170,111,11,3,59,Narrow_Body,4,away,2019-05-17 00:30:00,2019-05-17 01:35:00,1500,182
40,A,2019-05-17 01:35:00,AF,1844,I,CDG,32A,174,156,2,5,18,Narrow_Body,4,away,2019-05-17 01:35:00,2019-05-17 02:40:00,1550,639
41,D,2019-05-17 01:35:00,SU,522,I,DWC,73H,158,92,2,5,66,Narrow_Body,4,away,2019-05-17 00:30:00,2019-05-17 01:35:00,1550,197
42,D,2019-05-17 01:40:00,SU,1234,D,UFA,32A,158,151,198,1,7,Narrow_Body,1,away,2019-05-17 00:35:00,2019-05-17 01:40:00,1550,387
43,D,2019-05-17 01:50:00,SU,1206,D,KUF,SU9,87,68,190,1,19,Regional,3,away,2019-05-17 01:00:00,2019-05-17 01:50:00,1250,361
44,D,2019-05-17 01:50:00,SU,1472,D,NJC,73H,158,151,7,3,7,Narrow_Body,3,away,2019-05-17 00:45:00,2019-05-17 01:50:00,1500,534
45,D,2019-05-17 01:50:00,SU,1288,D,ULV,SU9,87,72,191,1,15,Regional,3,away,2019-05-17 01:00:00,2019-05-17 01:50:00,1250,413
46,D,2019-05-17 01:55:00,SU,1164,D,ROV,SU9,87,80,192,1,7,Regional,3,away,2019-05-17 01:05:00,2019-05-17 01:55:00,1250,333
47,D,2019-05-17 01:55:00,SU,1436,D,SVX,73H,158,97,199,1,61,Narrow_Body,3,away,2019-05-17 00:50:00,2019-05-17 01:55:00,1550,514
48,D,2019-05-17 01:55:00,SU,1522,D,NUX,32A,158,137,200,1,21,Narrow_Body,3,away,2019-05-17 00:50:00,2019-05-17 01:55:00,1550,564
49,D,2019-05-17 02:00:00,SU,1188,D,VOG,73H,158,77,201,1,81,Narrow_Body,1,away,2019-05-17 00:55:00,2019-05-17 02:00:00,1550,345
50,D,2019-05-17 02:05:00,SU,1864,I,EVN,321,170,115,8,3,55,Narrow_Body,1,away,2019-05-17 01:00:00,2019-05-17 02:05:00,1500,653
51,A,2019-05-17 02:10:00,SU,2383,I,GVA,32B,183,89,2,3,94,Narrow_Body,1,away,2019-05-17 02:10:00,2019-05-17 03:15:00,1500,836
52,A,2019-05-17 02:15:00,AZ,596,I,FCO,321,200,143,3,5,57,Narrow_Body,1,away,2019-05-17 02:15:00,2019-05-17 03:20:00,1550,218
53,A,2019-05-17 02:20:00,N4,316,D,AER,73H,189,84,4,3,105,Narrow_Body,1,away,2019-05-17 02:20:00,2019-05-17 03:25:00,1500,146
54,A,2019-05-17 02:35:00,SU,2305,I,FRA,320,140,110,1,3,30,Narrow_Body,1,away,2019-05-17 02:35:00,2019-05-17 03:40:00,1500,794
55,A,2019-05-17 02:45:00,N4,7814,I,AYT,77W,486,393,74,2,93,Wide_Body,1,away,2019-05-17 02:45:00,2019-05-17 04:05:00,2450,1004
56,A,2019-05-17 02:50:00,SU,2339,I,STR,320,140,45,5,3,95,Narrow_Body,3,away,2019-05-17 02:50:00,2019-05-17 03:55:00,1500,814
57,D,2019-05-17 02:50:00,N4,1801,I,AYT,772,440,352,76,2,88,Wide_Body,3,away,2019-05-17 01:30:00,2019-05-17 02:50:00,2450,624
58,A,2019-05-17 02:50:00,SU,2393,I,ZRH,73H,158,81,6,3,77,Narrow_Body,3,away,2019-05-17 02:50:00,2019-05-17 03:55:00,1500,842
59,A,2019-05-17 03:05:00,OK,898,I,PRG,73H,189,85,75,2,104,Narrow_Body,1,away,2019-05-17 03:05:00,2019-05-17 04:10:00,1550,243
60,D,2019-05-17 03:10:00,RL,7791,I,RHO,752,224,180,78,2,44,Wide_Body,1,away,2019-05-17 01:50:00,2019-05-17 03:10:00,2050,1002
61,D,2019-05-17 03:25:00,RL,7707,I,AYT,752,235,188,80,2,47,Wide_Body,2,away,2019-05-17 02:05:00,2019-05-17 03:25:00,2050,1000
62,D,2019-05-17 03:25:00,RL,7525,I,GZP,738,189,152,77,2,37,Narrow_Body,2,away,2019-05-17 02:20:00,2019-05-17 03:25:00,1550,999
63,A,2019-05-17 03:30:00,SU,2423,I,VCE,320,140,89,2,3,51,Narrow_Body,1,away,2019-05-17 03:30:00,2019-05-17 04:35:00,1500,862
64,A,2019-05-17 03:35:00,SU,2497,I,CPH,73H,158,76,3,5,82,Narrow_Body,1,away,2019-05-17 03:35:00,2019-05-17 04:40:00,1550,893
65,A,2019-05-17 03:55:00,SU,2619,I,BRU,73H,158,137,1,5,21,Narrow_Body,1,away,2019-05-17 03:55:00,2019-05-17 05:00:00,1550,938
66,A,2019-05-17 04:00:00,SU,2317,I,SXF,32B,183,71,4,3,112,Narrow_Body,1,away,2019-05-17 04:00:00,2019-05-17 05:05:00,1500,802
67,D,2019-05-17 04:05:00,N4,205,I,SKD,73H,189,119,76,2,70,Narrow_Body,2,away,2019-05-17 03:00:00,2019-05-17 04:05:00,1550,99
68,A,2019-05-17 04:05:00,SU,2139,I,IST,320,140,63,5,3,77,Narrow_Body,2,away,2019-05-17 04:05:00,2019-05-17 05:10:00,1500,759
69,A,2019-05-17 04:10:00,SU,2355,I,VIE,320,140,67,6,5,73,Narrow_Body,3,away,2019-05-17 04:10:00,2019-05-17 05:15:00,1550,826
70,A,2019-05-17 04:10:00,SU,1373,D,EGO,SU9,87,35,86,1,52,Regional,3,away,2019-05-17 04:10:00,2019-05-17 05:00:00,1250,469
71,D,2019-05-17 04:10:00,N4,7811,I,AYT,772,440,352,82,2,88,Wide_Body,3,away,2019-05-17 02:50:00,2019-05-17 04:10:00,2450,1003
72,A,2019-05-17 04:15:00,SU,2461,I,CDG,321,170,110,7,3,60,Narrow_Body,2,away,2019-05-17 04:15:00,2019-05-17 05:20:00,1500,875
73,D,2019-05-17 04:15:00,RL,7511,I,DJE,752,224,180,84,2,44,Wide_Body,2,away,2019-05-17 02:55:00,2019-05-17 04:15:00,2050,998
74,A,2019-05-17 04:20:00,SU,2549,I,TFS,333,296,244,74,2,52,Wide_Body,3,away,2019-05-17 04:20:00,2019-05-17 05:40:00,2250,910
75,A,2019-05-17 04:20:00,SU,1295,D,IJK,SU9,87,74,87,1,13,Regional,3,away,2019-05-17 04:20:00,2019-05-17 05:10:00,1250,418
76,A,2019-05-17 04:20:00,SU,2113,I,ATH,32B,183,102,75,2,81,Narrow_Body,3,away,2019-05-17 04:20:00,2019-05-17 05:25:00,1550,744
77,A,2019-05-17 04:25:00,SU,2193,I,AMS,32B,183,137,8,3,46,Narrow_Body,2,away,2019-05-17 04:25:00,2019-05-17 05:30:00,1500,780
78,A,2019-05-17 04:25:00,SU,2429,I,BLQ,32A,158,87,9,5,71,Narrow_Body,2,away,2019-05-17 04:25:00,2019-05-17 05:30:00,1550,866
79,A,2019-05-17 04:30:00,SU,2017,I,PRG,32B,183,62,10,5,121,Narrow_Body,2,away,2019-05-17 04:30:00,2019-05-17 05:35:00,1550,703
80,A,2019-05-17 04:30:00,SU,2585,I,LHR,321,170,131,11,3,39,Narrow_Body,2,away,2019-05-17 04:30:00,2019-05-17 05:35:00,1500,921
81,A,2019-05-17 04:35:00,SU,2093,I,BEG,32A,158,57,76,2,101,Narrow_Body,2,away,2019-05-17 04:35:00,2019-05-17 05:40:00,1550,731
82,A,2019-05-17 04:35:00,SU,1397,D,SCW,SU9,87,80,88,1,7,Regional,2,away,2019-05-17 04:35:00,2019-05-17 05:25:00,1250,483
83,A,2019-05-17 04:40:00,SU,2401,I,FCO,320,140,78,2,3,62,Narrow_Body,2,away,2019-05-17 04:40:00,2019-05-17 05:45:00,1500,843
84,A,2019-05-17 04:40:00,SU,505,I,TLV,77W,402,275,3,3,127,Wide_Body,2,away,2019-05-17 04:40:00,2019-05-17 06:00:00,2000,187
85,A,2019-05-17 04:45:00,SU,2377,I,LYS,320,140,22,77,3,118,Narrow_Body,3,away,2019-05-17 04:45:00,2019-05-17 05:50:00,1600,832
86,A,2019-05-17 04:45:00,SU,1869,I,EVN,73H,158,98,78,3,60,Narrow_Body,3,away,2019-05-17 04:45:00,2019-05-17 05:50:00,1600,658
87,A,2019-05-17 04:45:00,SU,1057,D,MCX,32A,158,48,89,1,110,Narrow_Body,3,away,2019-05-17 04:45:00,2019-05-17 05:50:00,1550,278
88,A,2019-05-17 04:50:00,SU,1893,I,TBS,32B,183,124,79,3,59,Narrow_Body,4,away,2019-05-17 04:50:00,2019-05-17 05:55:00,1600,669
89,D,2019-05-17 04:50:00,BT,427,I,RIX,CS3,145,111,79,5,34,Narrow_Body,4,away,2019-05-17 03:45:00,2019-05-17 04:50:00,1600,174
90,A,2019-05-17 04:50:00,SU,1335,D,ARH,SU9,87,72,90,1,15,Regional,4,away,2019-05-17 04:50:00,2019-05-17 05:40:00,1250,443
91,A,2019-05-17 04:50:00,FV,6194,D,ROV,73H,189,91,79,3,98,Narrow_Body,4,away,2019-05-17 04:50:00,2019-05-17 05:55:00,1600,983
92,A,2019-05-17 04:55:00,SU,1315,D,MRV,SU9,87,63,190,1,24,Regional,3,away,2019-05-17 04:55:00,2019-05-17 05:45:00,1250,432
93,A,2019-05-17 04:55:00,SU,2591,I,DUB,320,140,85,80,3,55,Narrow_Body,3,away,2019-05-17 04:55:00,2019-05-17 06:00:00,1600,923
94,A,2019-05-17 04:55:00,FV,6296,I,DPS,77W,457,360,19,3,97,Wide_Body,3,jetbridge,2019-05-17 04:55:00,2019-05-17 05:55:00,2250,992
95,A,2019-05-17 05:00:00,SU,1197,D,KZN,73H,158,73,86,1,85,Narrow_Body,4,away,2019-05-17 05:00:00,2019-05-17 06:05:00,1550,354
96,A,2019-05-17 05:00:00,SU,1627,D,SIP,73H,158,77,191,1,81,Narrow_Body,4,away,2019-05-17 05:00:00,2019-05-17 06:05:00,1550,587
97,D,2019-05-17 05:00:00,AZ,595,I,FCO,321,200,132,81,5,68,Narrow_Body,4,away,2019-05-17 03:55:00,2019-05-17 05:00:00,1600,217
98,A,2019-05-17 05:00:00,SU,2415,I,MXP,32B,183,66,1,3,117,Narrow_Body,4,away,2019-05-17 05:00:00,2019-05-17 06:05:00,1500,856
99,A,2019-05-17 05:05:00,SU,1113,D,KRR,32A,158,92,192,1,66,Narrow_Body,3,away,2019-05-17 05:05:00,2019-05-17 06:10:00,1550,292
100,A,2019-05-17 05:05:00,SU,2039,I,OTP,320,140,51,4,3,89,Narrow_Body,3,away,2019-05-17 05:05:00,2019-05-17 06:10:00,1500,715
101,A,2019-05-17 05:05:00,SU,37,D,LED,32A,158,84,193,1,74,Narrow_Body,3,away,2019-05-17 05:05:00,2019-05-17 06:10:00,1550,33
102,A,2019-05-17 05:10:00,SU,1323,D,MMK,32A,158,127,87,1,31,Narrow_Body,1,away,2019-05-17 05:10:00,2019-05-17 06:15:00,1550,436
103,A,2019-05-17 05:15:00,EO,202,D,PEE,E90,110,108,5,3,2,Regional,2,away,2019-05-17 05:15:00,2019-05-17 06:05:00,1200,95
104,A,2019-05-17 05:15:00,SU,1369,D,STW,SU9,87,34,194,1,53,Regional,2,away,2019-05-17 05:15:00,2019-05-17 06:05:00,1250,465
105,A,2019-05-17 05:20:00,SU,1129,D,AER,73H,158,113,195,1,45,Narrow_Body,1,away,2019-05-17 05:20:00,2019-05-17 06:25:00,1550,304
106,A,2019-05-17 05:25:00,SU,2605,I,MAD,32B,183,102,6,3,81,Narrow_Body,2,away,2019-05-17 05:25:00,2019-05-17 06:30:00,1500,930
107,A,2019-05-17 05:25:00,SU,2145,I,AYT,321,170,106,75,2,64,Narrow_Body,2,away,2019-05-17 05:25:00,2019-05-17 06:30:00,1550,763
108,A,2019-05-17 05:30:00,N4,730,D,REN,73H,189,105,7,3,84,Narrow_Body,1,away,2019-05-17 05:30:00,2019-05-17 06:35:00,1500,234
109,A,2019-05-17 05:35:00,EO,174,D,SVX,73H,189,145,8,3,44,Narrow_Body,2,away,2019-05-17 05:35:00,2019-05-17 06:40:00,1500,73
110,A,2019-05-17 05:35:00,SU,2513,I,BCN,32B,183,111,9,3,72,Narrow_Body,2,away,2019-05-17 05:35:00,2019-05-17 06:40:00,1500,899
111,A,2019-05-17 05:40:00,N4,362,D,KRR,73H,189,179,10,3,10,Narrow_Body,4,away,2019-05-17 05:40:00,2019-05-17 06:45:00,1600,156
112,D,2019-05-17 05:40:00,KL,900,I,AMS,73H,186,163,10,5,23,Narrow_Body,4,away,2019-05-17 04:35:00,2019-05-17 05:40:00,1750,245
113,A,2019-05-17 05:40:00,N4,634,D,SIP,73H,189,167,10,3,22,Narrow_Body,4,away,2019-05-17 05:40:00,2019-05-17 06:45:00,1600,220
114,A,2019-05-17 05:40:00,SU,2071,I,LCA,320,140,63,11,5,77,Narrow_Body,4,away,2019-05-17 05:40:00,2019-05-17 06:45:00,1550,723
115,A,2019-05-17 05:45:00,SU,1409,D,SVX,32A,158,131,88,1,27,Narrow_Body,3,away,2019-05-17 05:45:00,2019-05-17 06:50:00,1550,493
116,A,2019-05-17 05:45:00,EO,180,D,CEK,73H,189,99,2,3,90,Narrow_Body,3,away,2019-05-17 05:45:00,2019-05-17 06:50:00,1500,77
117,A,2019-05-17 05:45:00,SU,207,I,PVG,77W,402,388,21,3,14,Wide_Body,3,jetbridge,2019-05-17 05:45:00,2019-05-17 06:45:00,2250,103
118,A,2019-05-17 05:50:00,SU,1009,D,KGD,32A,158,67,89,1,91,Narrow_Body,2,away,2019-05-17 05:50:00,2019-05-17 06:55:00,1550,266
119,A,2019-05-17 05:50:00,SU,1239,D,UFA,32A,158,148,90,1,10,Narrow_Body,2,away,2019-05-17 05:50:00,2019-05-17 06:55:00,1550,390
120,A,2019-05-17 05:55:00,SU,513,I,IKA,32A,158,116,74,2,42,Narrow_Body,2,away,2019-05-17 05:55:00,2019-05-17 07:00:00,1550,193
121,A,2019-05-17 05:55:00,SU,1845,I,KIV,32A,158,135,76,3,23,Narrow_Body,2,away,2019-05-17 05:55:00,2019-05-17 07:00:00,1600,641
122,A,2019-05-17 06:00:00,SU,1425,D,CEK,32A,158,115,190,1,43,Narrow_Body,5,away,2019-05-17 06:00:00,2019-05-17 07:05:00,1550,505
123,D,2019-05-17 06:00:00,SU,2,D,LED,SU9,87,77,190,1,10,Regional,5,away,2019-05-17 05:10:00,2019-05-17 06:00:00,1250,1
124,A,2019-05-17 06:00:00,SU,201,I,PEK,333,296,270,78,2,26,Wide_Body,5,away,2019-05-17 06:00:00,2019-05-17 07:20:00,2250,93
125,D,2019-05-17 06:00:00,SU,1284,D,KRR,32A,158,135,196,1,23,Narrow_Body,5,away,2019-05-17 04:55:00,2019-05-17 06:00:00,1550,409
126,A,2019-05-17 06:00:00,EO,198,D,LED,E90,110,37,3,3,73,Regional,5,away,2019-05-17 06:00:00,2019-05-17 06:50:00,1200,89
127,A,2019-05-17 06:05:00,FV,6168,D,REN,73H,189,152,1,3,37,Narrow_Body,3,away,2019-05-17 06:05:00,2019-05-17 07:10:00,1500,969
128,A,2019-05-17 06:05:00,SU,2135,I,IST,73H,158,75,5,3,83,Narrow_Body,3,away,2019-05-17 06:05:00,2019-05-17 07:10:00,1500,755
129,D,2019-05-17 06:05:00,SU,1120,D,AER,32A,158,89,197,1,69,Narrow_Body,3,away,2019-05-17 05:00:00,2019-05-17 06:05:00,1550,297
130,D,2019-05-17 06:10:00,AF,1845,I,CDG,319,143,116,81,5,27,Narrow_Body,5,away,2019-05-17 05:05:00,2019-05-17 06:10:00,1600,642
131,D,2019-05-17 06:10:00,SU,1636,D,SIP,32A,158,141,198,1,17,Narrow_Body,5,away,2019-05-17 05:05:00,2019-05-17 06:10:00,1550,590
132,A,2019-05-17 06:10:00,SU,1207,D,KUF,SU9,87,44,86,1,43,Regional,5,away,2019-05-17 06:10:00,2019-05-17 07:00:00,1250,362
133,A,2019-05-17 06:10:00,SU,1549,D,OVB,32A,158,134,190,1,24,Narrow_Body,5,away,2019-05-17 06:10:00,2019-05-17 07:15:00,1550,575
134,A,2019-05-17 06:10:00,EO,186,D,KZN,E90,110,84,4,3,26,Regional,5,away,2019-05-17 06:10:00,2019-05-17 07:00:00,1200,81
135,D,2019-05-17 06:15:00,SU,1640,D,OMS,73H,158,54,82,3,104,Narrow_Body,4,away,2019-05-17 05:10:00,2019-05-17 06:15:00,1600,594
136,A,2019-05-17 06:15:00,EO,564,D,OSW,E90,110,69,77,3,41,Regional,4,away,2019-05-17 06:15:00,2019-05-17 07:05:00,1300,212
137,A,2019-05-17 06:15:00,SU,1511,D,SGC,32A,158,156,87,1,2,Narrow_Body,4,away,2019-05-17 06:15:00,2019-05-17 07:20:00,1550,559
138,A,2019-05-17 06:15:00,SU,1223,D,GOJ,32A,158,105,191,1,53,Narrow_Body,4,away,2019-05-17 06:15:00,2019-05-17 07:20:00,1550,378
139,A,2019-05-17 06:20:00,N4,2478,I,KBV,772,440,352,80,2,88,Wide_Body,2,away,2019-05-17 06:20:00,2019-05-17 07:40:00,2450,887
140,A,2019-05-17 06:20:00,SU,1503,D,TJM,32A,158,150,192,1,8,Narrow_Body,2,away,2019-05-17 06:20:00,2019-05-17 07:25:00,1550,553
141,A,2019-05-17 06:25:00,SU,35,D,LED,32A,158,105,193,1,53,Narrow_Body,6,away,2019-05-17 06:25:00,2019-05-17 07:30:00,1550,31
142,D,2019-05-17 06:25:00,SU,1462,D,OVB,73H,158,87,193,1,71,Narrow_Body,6,away,2019-05-17 05:20:00,2019-05-17 06:25:00,1550,530
143,A,2019-05-17 06:25:00,SU,1763,D,OMS,32A,158,122,79,3,36,Narrow_Body,6,away,2019-05-17 06:25:00,2019-05-17 07:30:00,1600,621
144,D,2019-05-17 06:25:00,SU,1438,D,UFA,SU9,87,65,199,1,22,Regional,6,away,2019-05-17 05:35:00,2019-05-17 06:25:00,1250,516
145,A,2019-05-17 06:25:00,SU,101,I,JFK,77W,402,344,19,3,58,Wide_Body,6,jetbridge,2019-05-17 06:25:00,2019-05-17 07:25:00,2250,43
146,D,2019-05-17 06:25:00,SU,1602,D,KUF,73H,158,137,200,1,21,Narrow_Body,6,away,2019-05-17 05:20:00,2019-05-17 06:25:00,1550,578
147,D,2019-05-17 06:30:00,SU,1146,D,AAQ,SU9,87,80,201,1,7,Regional,4,away,2019-05-17 05:40:00,2019-05-17 06:30:00,1250,321
148,D,2019-05-17 06:30:00,SU,1858,I,EVN,32B,183,124,83,3,59,Narrow_Body,4,away,2019-05-17 05:25:00,2019-05-17 06:30:00,1600,647
149,D,2019-05-17 06:30:00,SU,1270,D,KZN,SU9,87,69,202,1,18,Regional,4,away,2019-05-17 05:40:00,2019-05-17 06:30:00,1250,403
150,A,2019-05-17 06:30:00,SU,1429,D,MQF,73H,158,113,193,1,45,Narrow_Body,4,away,2019-05-17 06:30:00,2019-05-17 07:35:00,1550,509
151,A,2019-05-17 06:35:00,SU,1949,I,AKX,SU9,87,66,75,2,21,Regional,3,away,2019-05-17 06:35:00,2019-05-17 07:25:00,1250,679
152,A,2019-05-17 06:35:00,SU,2109,I,VNO,32A,158,45,6,5,113,Narrow_Body,3,away,2019-05-17 06:35:00,2019-05-17 07:40:00,1550,740
153,D,2019-05-17 06:35:00,SU,1356,D,RTW,SU9,87,47,203,1,40,Regional,3,away,2019-05-17 05:45:00,2019-05-17 06:35:00,1250,452
154,A,2019-05-17 06:40:00,SU,1441,D,IKT,73H,158,147,194,1,11,Narrow_Body,4,away,2019-05-17 06:40:00,2019-05-17 07:45:00,1550,519
155,D,2019-05-17 06:40:00,SU,1000,D,KGD,73H,158,128,194,1,30,Narrow_Body,4,away,2019-05-17 05:35:00,2019-05-17 06:40:00,1550,257
156,A,2019-05-17 06:40:00,SU,1219,D,PEE,SU9,87,65,194,1,22,Regional,4,away,2019-05-17 06:40:00,2019-05-17 07:30:00,1250,374
157,D,2019-05-17 06:40:00,SU,2500,I,MAD,32B,183,68,84,3,115,Narrow_Body,4,away,2019-05-17 05:35:00,2019-05-17 06:40:00,1600,894
158,A,2019-05-17 06:45:00,SU,1251,D,NBC,32A,158,90,195,1,68,Narrow_Body,2,away,2019-05-17 06:45:00,2019-05-17 07:50:00,1550,394
159,D,2019-05-17 06:45:00,SU,1410,D,SVX,32A,158,141,195,1,17,Narrow_Body,2,away,2019-05-17 05:40:00,2019-05-17 06:45:00,1550,494
160,D,2019-05-17 06:50:00,SU,1420,D,CEK,32A,158,100,204,1,58,Narrow_Body,4,away,2019-05-17 05:45:00,2019-05-17 06:50:00,1550,500
161,D,2019-05-17 06:50:00,SU,2320,I,MUC,32A,158,39,20,3,119,Narrow_Body,4,jetbridge,2019-05-17 06:00:00,2019-05-17 06:50:00,1650,805
162,A,2019-05-17 06:50:00,SU,525,I,DXB,73H,158,148,2,5,10,Narrow_Body,4,away,2019-05-17 06:50:00,2019-05-17 07:55:00,1550,202
